no,name
58　,KYK炸猪排 难波CITY店
60　,大阪Botejyu本店
62　,大阪烧 鹤桥风月 难波御堂筋Grand大厦店
64　,日本第一炸串 横纲 法善寺店
66　,黑毛和牛烤肉 一 东心斋桥店
68　,手作料理居酒屋甘太郎 难波店
70　,浪速味赑屃屋难波总店
72　,深广
74　,大阪滚石餐厅
76　,心斋桥MITSUYA 心斋桥总店
78　,Ek Chuah 空堀“藏”总店
80　,大起水产回转寿司 道顿堀店
82　,难波WALK
84　,浪速名产 ICHIBIRI庵 总店
86　,回转寿司CHOJIRO法善寺店
88　,大阪旅游信息服务中心 心斋桥
103,日本料理餐厅 祭
89　,KYK炸猪排 阪急三番街店
91　,日本第一炸串 横纲 梅田堂山店
93　,现烤芝士挞专卖店 PABLO梅田HEP FIVE店
95　,新世界将将 梅田店
97　,Whity梅田
99　,手作料理居酒屋甘太郎 阪急梅田店
101,梅仙堂
105,粹花KYK天王寺MIO店
107,炸猪排KYK阿倍野地下街店
109,炸串・章鱼烧 味之大丸
111,炸串・大阪烧专卖店 初代YEBISU
113,心斋桥MITSUYA 阿倍野店
115,大阪烧 鹤桥风月 阿倍野桥店
117,京都 北山餐厅 阿倍野HARUKAS店
119,KYK炸猪排  京阪京桥店
120,大阪烧 鹤桥风月 天保山店
122,GANKO天保山店
124,环球影城漫步大阪 滚石餐厅
59　,KYK炸猪排  NANNAN TOWN店
61　,大阪烧 鹤桥风月 道顿堀戎桥店
63　,和爽美
65　,黑毛和牛烤肉 一 心斋桥店
67　,诚心制作的光滑可口乌冬面 三佳屋
69　,美味小酒馆依怙赑屃（EKOHIIKI） 难波店
71　,浪速味赑屃屋心斋桥店
73　,拉面砦 难波店
75　,心斋桥MITSUYA 难波WALK店
77　,现烤芝士挞专卖店 PABLO道顿堀店
79　,大阪名产 海带老铺 戎桥筋OGURAYA总店
81　,心斋桥 法善寺ARARE
83　,GANKO法善寺店
85　,特产礼品店 ICHIBIRI庵 难波店
87　,浪速名产 ICHIBIRI庵 道顿堀店
102,M・K JOYFUL ROOM
,
90　,KYK炸猪排 阪急格兰大厦店
92　,粹花KYK大阪车站城店
94　,心斋桥MITSUYA Whity梅田店
96　,鹤桥烤肉 白云台 GRANDFRONT大阪店
98　,北滨RUMBA
100,浪速味贔屓屋HEP通店
104,HEP FIVE摩天轮纪念照拍摄服务
106,粹花KYK阿倍野HARUKAS美食街店
108,炸猪排KYK阿倍野Q's MALL店
110,日本第一炸串 横纲 本店
112,炸串・土手烧 一番总店
114,大阪烧鹤桥风月 新世界店
116,大阪烧 鹤桥风月 阿倍野御驰走大厦店
118,通天阁纪念照拍摄服务
,
121,WORLD BUFFET餐厅
123,炸猪排 长田园 宇宙大厦店
,
